Category,Invoice Count,Total Extracted ($),Unique Vendors,Earliest Date,Latest Date,WARNING
FAMILY_INTERNAL,2791,"$46,683,713.88",23,2011-06-24,2026-02-11,"INFLATED: Family emails with dollar mentions, not real spend"
UNKNOWN,2329,"$37,061,256.74",653,2009-09-21,2026-02-14,"NEEDS REVIEW: Ambiguous senders, may contain real vendors"
NOISE,608,"$10,834,583.00",48,2019-04-01,2026-02-14,"GARBAGE: Newsletter/spam dollar figures, not transactions"
REAL_BUSINESS,479,"$10,756,423.01",16,2018-10-19,2026-01-27,
CROG_INTERNAL,290,"$9,055,388.00",7,2018-10-09,2026-01-23,
CONTRACTOR,207,"$5,579,502.41",46,2011-10-29,2026-02-07,
UNCLASSIFIED,49,"$671,515.00",11,2019-08-05,2026-02-14,
FINANCIAL_SERVICE,41,"$539,785.38",20,2009-09-21,2026-02-11,
PROFESSIONAL_SERVICE,9,"$302,420.00",4,2020-09-30,2023-08-06,
GOVERNMENT,11,"$272,314.00",5,2019-02-05,2025-12-17,
OPERATIONAL_EXPENSE,9,"$171,283.00",3,2018-11-09,2025-12-26,
